Titre,Tag,Auteur,Date,Filename,Dossier,SousDossier,Rubrique
"Inteligência artificial, catástrofe natural?",Éditoriaux,GUERRERO Omar,15/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230315\3_8_20230315_155712410_1961612731.html,Traduction éditoriaux,En portuguais,Editoriaux
"Préparation au séminaire 2023 : étude du séminaire XX de J. Lacan, Encore - Leçon 5",Archives séminaires d’été,FELTIN Daniel,,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\TXT ACCORD D. FELTIN L5, 06_12_2022 (1).pdf",Préparation au séminaire d'été 2023 : étude du séminaire XX de J. Lacan Encore,,Séminaire d'Été
Un vrai couple ?,Archives séminaires d’été,PITAVY Thatyana,11/04/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230411\3_8_20230411_115624157_84772506.html,,,Editoriaux
"Préparation au séminaire 2023 : étude du séminaire XX de J. Lacan, Encore - Leçon 6",Archives séminaires d’été,MASQUEREL Isabelle,,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\MARDI 5 FINAL ACCORD, L 6  I. MASQUEREL 03_01_2023.pdf",Préparation au séminaire d'été 2023 : étude du séminaire XX de J. Lacan Encore,,
,Archives séminaires d’été,,,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\MARDI 5 FINAL ACCORD, L 6  I. MASQUEREL 03_01_2023 (2).pdf",,,
Quel rapport y-a-t-il entre jouissances et identifications ?,Archives séminaires d’été,JESUINO Angela,,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\MARDI 4 FINAL ACCORD A. JESUINO_ 06_12_2023_ (1).pdf,Préparation au séminaire d'été 2023 : étude du séminaire XX de J. Lacan Encore,,
"Préparation au séminaire 2023 : étude du séminaire XX de J. Lacan, Encore - Leçon 9",Archives séminaires d’été,,,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\MARDI 8 FINAL L9 L. RABSZTYN 07_03_2023.pdf,Préparation au séminaire d'été 2023 : étude du séminaire XX de J. Lacan Encore,,Séminaire d'Été
Intransigenza,Éditoriaux,GUERRERO Omar,06/04/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230406\3_8_20230406_152033593_263632049.html,Traduction éditoriaux,En italien,Editoriaux
Battere in ritirata,Éditoriaux,GUERRERO Omar,04/04/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230404\3_8_20230404_163023039_2103471263.html,Traduction éditoriaux,En italien,Editoriaux
A condizione di servirsene,Éditoriaux,ROTH Thierry,04/04/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230404\3_8_20230404_162850742_376547836.html,Traduction éditoriaux,En italien,Editoriaux
"Intelligenza artificiale, catastrofe naturale?",Éditoriaux,GUERRERO Omar,04/04/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230404\3_8_20230404_162710508_870773735.html,Traduction éditoriaux,En italien,Editoriaux
Rückzug,Éditoriaux,GUERRERO Omar,04/04/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230404\3_8_20230404_161859539_323344803.html,Traduction éditoriaux,En allemand,Editoriaux
Υποχώρηση (Battre en retraite),Éditoriaux,GUERRERO Omar,04/04/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230404\3_8_20230404_161456851_629735855.html,Traduction éditoriaux,En grec,Editoriaux
Με την προϋπόθεση ότι θα το χρησιμοποιήστε,Éditoriaux,ROTH Thierry,04/04/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230404\3_8_20230404_161231351_1999702202.html,Traduction éditoriaux,En grec,Editoriaux
Le paysage et les questions qu’il pose à la représentation,Éditoriaux,THIBIERGE Stéphane,01/04/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230401\3_8_20230401_151750234_582519599.html,,,Billets d'actualités
Battre en retraite,Éditoriaux,GUERRERO Omar,23/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230323\3_8_20230323_103823135_1181024809.html,,,Editoriaux
Discussion après la conférence d'Annie Delannoy (24/01/2023),Le Grand Séminaire,,17/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230317\3_8_20230317_121015279_1176633197.html,,,Grand Séminaire de l'ALI
Une petite pincée d’amour ?,Le Grand Séminaire,DELANNOY Annie,17/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230317\3_8_20230317_115201632_4353351.html,,,Grand Séminaire de l'ALI
"Patrick VALAS Disponibilité, don et dette",Hommages,CHASSAING Jean-Louis,16/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230316\3_8_20230316_164114762_1236111723.html,,,Hommage
"Yapay Zeka, doǧal afet mi?",Éditoriaux,GUERRERO Omar,16/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230316\3_8_20230316_103548248_1834573734.html,Traduction éditoriaux,En turc,Editoriaux
Sur l’unheimlich à partir de la nouvelle Le nez de Gogol,Archives journées des cartels,,14/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230314\3_8_20230314_155708852_628415124.html,,,Les cartels de l'ALI
Du désir d’Enseignante au désir d’Analyste…,Archives journées des cartels,,14/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230314\3_8_20230314_154907568_135561244.html,,,Les cartels de l'ALI
Quelques références à Descartes chez Lacan,Archives journées des cartels,MACHADO Fernanda Leite de Paula,14/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230314\3_8_20230314_121847899_1240081813.html,,,Les cartels de l'ALI
,Archives journées des cartels,,,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\TXT ACCORD D. FELTIN L5, 06_12_2022.pdf",,,
Hasard et nécessité,Divers,BON Norbert,14/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230314\3_8_20230314_120757707_478978889.html,,,Billets d'actualité
"Artificial Intelligence, natural catastrophe?",Éditoriaux,GUERRERO Omar,14/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230314\3_8_20230314_111219434_511002460.html,Traduction éditoriaux,En anglais,Editoriaux
Искусственный интеллект - стихийное бедствие?,Éditoriaux,GUERRERO Omar,14/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230314\3_8_20230314_110933251_929016457.html,Traduction éditoriaux,En russe,Editoriaux
Künstliche Intelligenz – eine Naturkatastrophe?,Éditoriaux,GUERRERO Omar,14/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230314\3_8_20230314_110616091_2126663764.html,Traduction éditoriaux,En allemand,Editoriaux
LE SEXE… OU PIRE ?,Archives séminaires d’hiver,ROTH Thierry,21/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230221\3_8_20230221_083117867_645464005.html,Séminaire d'Hiver 2023 : Pourvu qu'on s'aime,Dossier de retour,Séminaire d'hiver
"ÉTUDE DU SÉMINAIRE XI LES FONDEMENTS DE LA PSYCHANALYSE, J. LACAN - SÉANCE PLÉNIÈRE DU 13/02",Le collège de l'ALI,THIBIERGE Stéphane,13/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230313\3_8_20230313_113441357_1736710799.html,Le collège de l'ALI,,
Hommage à Patrick Valas,Hommages,BÉLOT FOURCADE Pascale,13/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230313\3_8_20230313_110622643_211068672.html,,,Hommage
"При условии, что вы им пользуетесь",Éditoriaux,ROTH Thierry,13/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230313\3_8_20230313_100547120_1045870709.html,Traduction éditoriaux,En russe,Editoriaux
"Inteligencia artificial, ¿catástrofe natural?",Éditoriaux,GUERRERO Omar,13/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230313\3_8_20230313_095910322_1337839249.html,Traduction éditoriaux,En espagnol,Editoriaux
Éperdument,Archives séminaires d’hiver,GUERRERO Omar,10/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230310\3_8_20230310_101016928_1101510893.html,Séminaire d'Hiver 2023 : Pourvu qu'on s'aime,,Séminaire d'hiver
"Intelligence artificielle, catastrophe naturelle ?",Archives séminaires d’hiver,GUERRERO Omar,09/03/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230309\3_8_20230309_111244856_201755508.html,,,Editoriaux
Il nome e il numero,Base documentaire,GAMBINI Fabrizio,14/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230214\3_8_20230214_134241441_805152948.html,Parutions des membres chez d'autres éditeurs,,Parutions
"ÉTUDE DU SÉMINAIRE XI LES FONDEMENTS DE LA PSYCHANALYSE, J. LACAN - SÉANCE PLÉNIÈRE DU 30/01",Le collège de l'ALI,JESUINO Angela,27/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230227\3_8_20230227_140401689_578727843.html,Le collège de l'ALI,,
L’amour est un caillou riant dans le soleil,Archives séminaires d’hiver,"BEAUMONT Jean-Paul,JESUINO Angela",23/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230223\3_8_20230223_142440338_1143057455.html,Séminaire d'Hiver 2023 : Pourvu qu'on s'aime,Dossier de retour,Séminaire d'hiver
JOYCE avec JIM et NORA,Archives séminaires d’hiver,JEANVOINE Michel,23/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230223\3_8_20230223_114701423_876483405.html,Séminaire d'Hiver 2023 : Pourvu qu'on s'aime,Dossier de retour,Séminaire d'hiver
INFANTILISME PSYCHIQUE,Archives séminaires d’hiver,PIGOZZI Laura,20/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230220\3_8_20230220_150722066_1372092420.html,Séminaire d'Hiver 2023 : Pourvu qu'on s'aime,Dossier de retour,Séminaire d'hiver
L’amour comme panacée ?,Archives séminaires d’hiver,JOOS DE TER BEERST Anne,22/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230222\3_8_20230222_151415718_2032251874.html,Séminaire d'Hiver 2023 : Pourvu qu'on s'aime,Dossier de retour,Séminaire d'hiver
« Faut-il être psychotique pour vraiment aimer ? »,Archives séminaires d’hiver,BERTAUD Edouard,21/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230221\3_8_20230221_104803138_898722125.html,Séminaire d'Hiver 2023 : Pourvu qu'on s'aime,Dossier de retour,Séminaire d'hiver
De Régine à Nora,Archives séminaires d’hiver,GOROG Françoise,21/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230221\3_8_20230221_084855043_1412502947.html,Séminaire d'Hiver 2023 : Pourvu qu'on s'aime,Dossier de retour,Séminaire d'hiver
« L’avoir dans la Peau ? » Avoir quelqu’Un dans la peau,Archives séminaires d’hiver,JEJCIC Marie,21/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230221\3_8_20230221_082504350_1537679871.html,Séminaire d'Hiver 2023 : Pourvu qu'on s'aime,Dossier de retour,Séminaire d'hiver
L’ETREINTE ABYSSALE,Archives séminaires d’hiver,CADEAU Marie-Charlotte,20/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230220\3_8_20230220_152700848_1544044403.html,Séminaire d'Hiver 2023 : Pourvu qu'on s'aime,Dossier de retour,Séminaire d'hiver
Y A QUELQU’UN ?!?,Archives séminaires d’hiver,METZ Bénédicte,20/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230220\3_8_20230220_145753815_594111473.html,Séminaire d'Hiver 2023 : Pourvu qu'on s'aime,Dossier de retour,Séminaire d'hiver
Le droit à l’enfant,Archives séminaires d’hiver,HAMAD Nazir,20/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230220\3_8_20230220_145014159_2113900923.html,Séminaire d'Hiver 2023 : Pourvu qu'on s'aime,Dossier de retour,Séminaire d'hiver
Comment devient-on paranoïaque ?,Archives séminaires d’hiver,MELMAN Charles,20/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230220\3_8_20230220_142415486_1669892072.html,,,
Gli istrici di Schopenhauer non avevano letto Lacan,Base documentaire,ISAIA Marco,20/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230220\3_8_20230220_123935512_1696796402.html,Parutions des membres chez d'autres éditeurs,,Parutions
Pourvu qu’on s’aime (encore)...,Divers,BON Norbert,13/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230213\3_8_20230213_133351968_164991170.html,,,Billets d'actualité
"Étude du séminaire XI Les Fondements de la psychanalyse, J. Lacan - séance plénière du 29/11",Le collège de l'ALI,THIBIERGE Stéphane,06/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230206\3_8_20230206_143547833_85070593.html,Le collège de l'ALI,,
INTRANSIGÊNCIA,Éditoriaux,GUERRERO Omar,06/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230206\3_8_20230206_142509177_1571827847.html,Traduction éditoriaux,En portuguais,Editoriaux
Com a condição de se servir dele,Éditoriaux,ROTH Thierry,06/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230206\3_8_20230206_142335427_990740153.html,Traduction éditoriaux,En portuguais,Editoriaux
As long as one makes use of him,Éditoriaux,ROTH Thierry,06/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230206\3_8_20230206_140738207_298026662.html,Traduction éditoriaux,En anglais,Editoriaux
"Étude du séminaire XI Les Fondements de la psychanalyse, J. Lacan - séance plénière du 12/12",Le collège de l'ALI,"JESUINO Angela,THIBIERGE Stéphane",06/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230206\3_8_20230206_140100910_1531000074.html,Le collège de l'ALI,,
"Étude du séminaire XI Les Fondements de la psychanalyse, J. Lacan - séance plénière du 16/01",Le collège de l'ALI,,06/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230206\3_8_20230206_135646784_1951473458.html,Le collège de l'ALI,,
"Étude du séminaire XI Les Fondements de la psychanalyse, J. Lacan - séance plénière du 17/10",Collège des enseignements,,17/10/2022,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2022_1017_TR SP COLLEGE.pdf,Le collège de l'ALI,,Enseignements
Quando a terra vem na mala.,Cycles de conférence,DOS REIS-BETANCOURT Eliana,06/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230206\3_8_20230206_113601548_2065535732.html,,,Cartel franco-brésilien de la psychanalyse
Mélanie Klein et le cannibalisme dans la clinique infantile quotidienne,Divers,BERGÈS BOUNES Marika,06/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230206\3_8_20230206_102748498_1242437701.html,,,Billets d'actualité
Faydalanmak Koşuluyla,Éditoriaux,ROTH Thierry,06/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230206\3_8_20230206_100018966_1867741494.html,Traduction éditoriaux,En turc,Editoriaux
UZLAŞMAZLIK,Éditoriaux,GUERRERO Omar,06/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230206\3_8_20230206_095809950_1209361055.html,Traduction éditoriaux,En turc,Editoriaux
Vorausgesetzt man bedient sich seiner.,Éditoriaux,ROTH Thierry,03/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230203\3_8_20230203_132532352_1060281889.html,Traduction éditoriaux,En allemand,Editoriaux
A condición de valerse de él,Éditoriaux,ROTH Thierry,03/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230203\3_8_20230203_112603097_1494968979.html,Traduction éditoriaux,En espagnol,Editoriaux
Unnachgiebigkeit,Éditoriaux,GUERRERO Omar,03/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230203\3_8_20230203_111925081_1852501787.html,Traduction éditoriaux,En allemand,Editoriaux
"LA HAINE, ENCORE ?",Notes de lecture,MORALI Marc,01/02/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230201\3_8_20230201_162412661_456189496.html,,,Notes de lecture
Le non-rapport sexuel : subversion ou lalangue ? Notes sur l’Indécidable,Cycles de conférence,CARDOSO GIL Maria-Roneide,31/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230131\3_8_20230131_103245548_83939939.html,,,Cartel franco-brésilien de la psychanalyse
CHARLES MELMAN UN PSYCHANALYSTE DANS LA CITÉ,Cycles de conférence,,23/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2023_Artclie Psy Maga.pdf,,,
A condition de s’en servir,Cycles de conférence,ROTH Thierry,30/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230130\3_8_20230130_103215922_141785346.html,,,Editoriaux
Le bébé et ses savoirs,Base documentaire,PARLATO-OLIVEIRA Erika,27/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230127\3_8_20230127_115916003_558258117.html,Parutions des membres chez d'autres éditeurs,,Parutions
Intransigence,Éditoriaux,GUERRERO Omar,27/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230127\3_8_20230127_104716936_2109661784.html,Traduction éditoriaux,En anglais,Editoriaux
Непримиримость,Éditoriaux,GUERRERO Omar,23/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230123\3_8_20230123_162838244_1919700665.html,Traduction éditoriaux,En russe,Editoriaux
Une virgule pour respirer,D'autres scènes,NOIRJEAN Cyrille,23/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230123\3_8_20230123_152946461_1182179965.html,,,D'autres scènes
DIRE DEL NUOVO SULL’AMORE. SOGLIE. UN’INTRODUZIONE AL SEMINARIO ENCORE,Archives séminaires d’été,FANELLI Cristiana,,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\ENCORE versione italiana (1) (2).pdf,,En italien,Séminaire d'Été
Dire du nouveau sur l'amour. Une introduction au séminaire Encore,Archives séminaires d’été,FANELLI Cristiana,,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\ENCORE_FANELLI version FR.pdf,,,Séminaire d'Été
Intransigencia,Éditoriaux,GUERRERO Omar,23/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230123\3_8_20230123_113238718_719417413.html,Traduction éditoriaux,En espagnol,Editoriaux
Αδιαλλαξία,Éditoriaux,GUERRERO Omar,23/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230123\3_8_20230123_113104701_1564147151.html,Traduction éditoriaux,En grec,Editoriaux
Discussion après la conférence de Pierre Marchal,Le Grand Séminaire,,17/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230120\3_8_20230120_083400087_1394858045.html,,,Grand Séminaire de l'ALI
"Pierre Marchal : Jouissance, amour, désir, ou comment parler de l’angoisse en termes d’amour.",Le Grand Séminaire,MARCHAL Pierre,17/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230120\3_8_20230120_083051368_2138392584.html,,,Grand Séminaire de l'ALI
Lamentu,Base documentaire,ALBERTINI Michèle,18/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230118\3_8_20230118_170140689_217253035.html,Parutions des membres chez d'autres éditeurs,,Parutions
,Base documentaire,,,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\ACCORD GR, TXT 06_12_2022.pdf",,,
,Base documentaire,,,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\ACCORD MMS,  TXT L4  06_12_2022.pdf",,,
Intransigeance,Base documentaire,GUERRERO Omar,04/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230104\3_8_20230104_123835630_955142061.html,,,Editoriaux
Lecture de L’identification de Lacan,Base documentaire,FIERENS Christian,18/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230118\3_8_20230118_165157331_1782520414.html,Parutions des membres chez d'autres éditeurs,,Parutions
La science lit dans les pensées (sic),Base documentaire,BON Norbert,16/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230116\3_8_20230116_160902769_1811124354.html,,,Billets d'actualités
Comment rater le processus de séparation.,Base documentaire,MAURIN-FELTIN Annie,16/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230116\3_8_20230116_101705114_1647082133.html,,,
"Étude du séminaire XI Les Fondements de la psychanalyse, J. Lacan - séance plénière du 17/10",Le collège de l'ALI,,05/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230105\3_8_20230105_121435470_1014887200.html,Le collège de l'ALI,,
"Étude du séminaire XI Les Fondements de la psychanalyse, J. Lacan - séance plénière du 17/10",Le collège de l'ALI,,05/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230105\3_8_20230105_121411267_1380001329.html,Le collège de l'ALI,,
Tableaux dans une exposition : regard analytique,D'autres scènes,HASENBALG-CORABIANU Virginia Alicia,02/01/2023,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20230102\3_8_20230102_102251318_1098397559.html,,,D'autres scènes
Les paranoïas : un véritable baromètre de notre lien social,Archives journées des cartels,NURAL Umur Yiğit,29/12/2022,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20221229\3_8_20221229_130646271_284755958.html,,Dossier de retour,Les cartels de l'ALI
"Belle et le Belzébuth: désir, jouissance et angoisse",Archives journées des cartels,DAGENS Véronique,10/09/2022,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2022_1010_JE CARTELS  DAGENS.pdf,,Dossier de retour,Les cartels de l'ALI
"Le Bulletin Freudien n°67 : Divination, médecine et psychanalyse",Base documentaire,COLLECTIF,01/07/2022,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20221229\3_8_20221229_110108529_1599682962.html,Le Bulletin freudien (AFB),,Parutions
Le Bulletin Freudien n°66 : Tenir pour vrai,Base documentaire,COLLECTIF,03/01/2022,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20221229\3_8_20221229_095700885_1320541840.html,Le Bulletin freudien (AFB),,Parutions
Le Bulletin Freudien n°65 : Les avatars contemporains de la sexuation,Base documentaire,COLLECTIF,01/07/2020,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20221229\3_8_20221229_095232056_1995765859.html,Le Bulletin freudien (AFB),,Parutions
Bulletin freudien n°64: Quelles écritures pour les ritualités contemporaines ?,Base documentaire,COLLECTIF,31/01/2020,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20221229\3_8_20221229_094857993_509531355.html,Le Bulletin freudien (AFB),,Parutions
TEST,Base documentaire,,12/12/2022,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20221212\3_8_20221212_160236318_2133787861.html,,,
La Revue Lacanienne n°22 : Éclats du corps,Base documentaire,COLLECTIF,28/10/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20221212\3_8_20221212_142932533_219778352.html,La Revue lacanienne,,Parutions
"The Milltown Lacanian Association, Study Day on Hysteria in the 21st Century",Divers,,28/11/2022,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20221128\3_8_20221128_170208328_38096919.html,,,Billets d'actualité
